"c..Araneae....Dermaptera....Diptera....Hemiptera....Hymenoptera...","c..Araneae....Diptera....Hemiptera....Hymenoptera....Ixodida...","NA_character_."
"Araneae","Araneae",NA
"Dermaptera","Diptera",NA
"Diptera","Hemiptera",NA
"Hemiptera","Hymenoptera",NA
"Hymenoptera","Ixodida",NA
"Ixodida","Lepidoptera",NA
"Lepidoptera","Opiliones",NA
"Trichoptera","Siphonaptera",NA
"Coleoptera","Trombidiformes",NA
"Ephemeroptera",NA,NA
"Isopoda","Coleoptera",NA
"Lumbriculidae","Ephemeroptera",NA
"Megaloptera","Isopoda",NA
"Odonata","Lumbriculidae",NA
"Plecoptera","Megaloptera",NA
"Stylommatophora","Plecoptera",NA
"Tricladida","Trichoptera",NA
NA,"Odonata",NA
"Accipitriformes","Accipitriformes",NA
"Apodiformes","Anura",NA
"Artiodactyla","Falconiformes",NA
"Columbiformes","Passeriformes",NA
"Falconiformes","Pelecaniformes",NA
"Passeriformes","Squamata",NA
"Pelecaniformes","Artiodactyla",NA
"Chiroptera","Chiroptera",NA
